thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,[-0.15],[0.07222222222222222],[1],[0],[0],[1.3157351999543607],['target'],20,0,20,0,40.36575430026278,,5,40.35629260027781,40.36575430026278,40.36575430026278,0.01754349982365966,41.67241520015523,[-0.15],[0.07222222222222222],[1],[0],[0],[1.3157351999543607],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
21,0,21,[-0.425],[-0.43703703703703706],[1],[0],[0],[2.417759300209582],['target'],21,0,21,0,41.69671369995922,,5,41.68739130022004,41.69671369995922,41.69671369995922,0.01482140040025115,44.10578830027953,[-0.425],[-0.43703703703703706],[1],[0],[0],[2.417759300209582],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
22,0,22,[0.10092592592592593],[-0.06944444444444445],[1],[0],[0],[1.2908520000055432],['target'],22,0,22,0,44.14761540014297,,10,44.13491380028427,44.14761540014297,44.14761540014297,0.028982100076973438,45.42625869996846,[0.10092592592592593],[-0.06944444444444445],[1],[0],[0],[1.2908520000055432],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
23,0,23,[-0.1574074074074074],[-0.39351851851851855],[1],[0],[0],[1.5187451001256704],['target'],23,0,23,0,45.449707500170916,,5,45.440716800279915,45.449707500170916,45.449707500170916,0.01422500004991889,46.959869500249624,[-0.1574074074074074],[-0.39351851851851855],[1],[0],[0],[1.5187451001256704],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
24,0,24,[-0.31203703703703706],[-0.19722222222222222],[1],[0],[0],[1.8756356998346746],['target'],24,0,24,0,47.001723600085825,,10,46.98773659998551,47.001723600085825,47.001723600085825,0.027735400013625622,48.86374770011753,[-0.31203703703703706],[-0.19722222222222222],[1],[0],[0],[1.8756356998346746],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
25,0,25,[-0.026851851851851852],[-0.3592592592592593],[1],[0],[0],[1.6688987999223173],['target'],25,0,25,0,48.88728959998116,,5,48.87842079997063,48.88728959998116,48.88728959998116,0.014512599911540747,50.54776079999283,[-0.026851851851851852],[-0.3592592592592593],[1],[0],[0],[1.6688987999223173],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
26,0,26,[-0.2518518518518518],[0.08981481481481482],[1],[0],[0],[1.2680468000471592],['target'],26,0,26,0,50.57168629998341,,5,50.56214680010453,50.57168629998341,50.57168629998341,0.014252700377255678,51.83063460001722,[-0.2518518518518518],[0.08981481481481482],[1],[0],[0],[1.2680468000471592],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
27,0,27,[-0.1175925925925926],[0.12129629629629629],[1],[0],[0],[1.5770312999375165],['target'],27,0,27,0,51.87207180028781,,10,51.85722410026938,51.87207180028781,51.87207180028781,0.026433399878442287,53.43476500036195,[-0.1175925925925926],[0.12129629629629629],[1],[0],[0],[1.5770312999375165],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
28,0,28,[0.05555555555555555],[-0.22870370370370371],[1],[0],[0],[1.7813436002470553],['target'],28,0,28,0,53.46234690025449,,5,53.45282670017332,53.46234690025449,53.46234690025449,0.017847899813205004,55.23465700028464,[0.05555555555555555],[-0.22870370370370371],[1],[0],[0],[1.7813436002470553],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
29,0,29,[-0.3972222222222222],[0.3333333333333333],[1],[0],[0],[1.8657247996889055],['target'],29,0,29,0,55.26187600009143,,5,55.25145390024409,55.26187600009143,55.26187600009143,0.016654800157994032,57.1176323001273,[-0.3972222222222222],[0.3333333333333333],[1],[0],[0],[1.8657247996889055],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
